Segment_ID,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
1000015382,0,0,0,0,0,0,0,0,0,0
1000554676,0,0,0,0,0,0,0,0,0,0
1000745424,0,0,0,0,0,0,0,0,0,0
1001461087,0,0,0,0,0,0,0,0,0,0
1001732002,0,0,0,0,0,0,0,0,0,0
1002275321,0,60001,0,0,0,0,0,60001,0,0
1002575641,0,0,0,0,0,0,0,0,0,0
1002609771,0,0,60001,0,60001,0,0,0,0,0
1002624617,0,0,0,0,60001,0,0,0,0,0
1002789083,0,0,0,0,60001,0,0,0,0,0
1002825126,0,0,0,0,0,0,0,0,0,0
1003154738,0,60001,60001,0,0,0,0,60001,0,0
1003175827,0,0,60001,0,0,0,0,0,0,0
1003411703,0,0,0,0,0,0,0,0,0,0
1003520023,0,0,0,0,0,0,0,0,0,0
10035828,0,0,0,0,0,0,0,0,0,0
1004346803,0,0,0,0,0,0,0,0,0,0
1004557332,0,0,60001,0,0,0,0,0,0,0
1004561781,0,0,0,0,0,0,0,0,0,0
1004609129,0,0,0,0,0,0,0,0,0,0
100519902,0,0,0,0,0,0,0,0,0,0
1005472094,0,0,0,0,0,0,0,0,0,0
100610446,0,60001,0,0,0,0,0,60001,0,0
1006345280,0,60001,0,0,0,0,0,60001,0,0
1006842231,0,0,60001,0,0,0,0,0,60001,0
1007019534,0,0,0,0,0,0,0,0,0,0
1007996426,0,0,0,0,0,0,0,0,0,0
1009126824,0,60001,60001,0,0,0,0,60001,0,0
1009442335,0,0,0,0,0,0,0,0,0,0
1009749143,0,0,0,0,0,0,0,0,0,0
1010002096,0,0,0,0,0,0,0,0,0,0
1010561361,0,60001,0,0,0,0,0,60001,0,0
1010680130,0,60001,0,0,0,0,0,0,0,0
1010725931,0,0,0,0,0,0,0,0,0,0
1010756593,0,0,0,0,0,0,0,0,0,0
1010864137,0,60001,0,0,60001,0,0,0,0,0
1011078321,0,0,0,0,0,0,0,0,0,0
1011133267,0,0,0,0,0,0,0,0,0,0
1013196130,0,0,0,0,0,0,0,0,0,0
1013226239,0,0,0,0,60001,0,0,0,0,0
1013789689,0,0,60001,0,0,0,0,0,0,0
1014562599,0,0,0,0,0,0,0,0,0,0
1014585637,0,0,0,0,0,0,0,0,0,0
1015033166,0,0,60001,0,0,0,0,0,60001,0
1015092282,0,0,0,0,0,0,0,0,0,0
1016110949,0,0,0,0,0,0,0,0,0,0
101616763,0,60001,0,0,0,0,0,60001,0,0
1016242026,0,60001,0,0,0,0,0,60001,0,0
1016727429,0,0,0,0,0,0,0,0,0,0
1016932159,0,0,0,0,0,0,0,0,0,0
1016956864,0,0,0,0,0,0,0,0,0,0
1017830158,0,0,0,0,0,0,0,0,0,0
1018207090,0,60001,0,0,0,0,0,0,0,0
1018435910,0,0,0,0,0,0,0,0,0,0
1018756523,0,0,0,0,0,0,0,0,0,0
1019052648,0,0,0,0,0,0,0,0,0,0
1019955915,0,60001,0,0,0,0,0,60001,0,0
1020283272,0,60001,0,0,0,0,0,0,0,0
1021479157,0,0,60001,0,0,0,0,0,0,0
1022420757,0,0,60001,0,0,0,0,0,60001,0
1023111602,0,0,0,0,0,0,0,0,0,0
1023245702,0,60001,0,0,0,0,0,60001,0,0
102338326,0,0,0,0,0,0,0,0,0,0
1023559523,0,0,0,0,0,0,0,0,0,0
1023589533,0,0,0,0,0,0,0,0,0,0
